ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:16:16+08:00,30000,14180,13380,0,0,290,480,530
2026-09-08T19:16:26+08:00,30000,28254,27752,0,0,300,490,590
2026-09-08T19:16:36+08:00,30000,42352,41982,0,0,290,490,580
2026-09-08T19:16:46+08:00,30000,56026,55641,0,0,290,490,620
2026-09-08T19:16:56+08:00,30000,72150,69497,0,0,310,750,1280
2026-09-08T19:17:06+08:00,30000,88720,86295,0,0,360,2720,3900
2026-09-08T19:17:16+08:00,30000,103036,102588,0,0,380,2930,4450
2026-09-08T19:17:26+08:00,30000,118561,117544,0,0,390,2800,4370
2026-09-08T19:17:36+08:00,30000,134593,131209,0,0,410,2700,4270
2026-09-08T19:17:46+08:00,30000,150104,143513,0,0,440,3080,4530
2026-09-08T19:17:56+08:00,30000,166318,164978,0,0,500,3800,5030
2026-09-08T19:18:06+08:00,30000,181763,180479,0,0,540,3700,4990
2026-09-08T19:18:16+08:00,30000,197928,190902,0,0,600,3820,5000
2026-09-08T19:18:26+08:00,30000,213059,202921,0,0,670,4780,6710
2026-09-08T19:18:36+08:00,30000,228564,215148,0,0,750,6710,10410
2026-09-08T19:18:46+08:00,30000,242123,224220,0,0,820,9250,11840
2026-09-08T19:18:56+08:00,30000,256580,232221,0,0,890,10890,16800
2026-09-08T19:19:06+08:00,30000,271270,239872,0,0,970,14350,21540
2026-09-08T19:19:16+08:00,30000,285552,248020,0,0,1060,18080,25890
2026-09-08T19:19:26+08:00,30000,299752,254325,0,0,1130,21800,29260
2026-09-08T19:19:36+08:00,30000,314341,261848,0,0,1240,26370,30000
2026-09-08T19:19:46+08:00,30000,327815,267080,0,0,1320,29730,30000
2026-09-08T19:19:56+08:00,30000,342768,276709,0,0,1480,30000,30000
2026-09-08T19:20:06+08:00,30000,357902,286172,0,0,1670,30000,30000
2026-09-08T19:20:16+08:00,30000,371466,292086,0,0,1810,30000,30000
2026-09-08T19:20:26+08:00,30000,385977,299413,0,0,1980,30000,30000
2026-09-08T19:20:36+08:00,30000,400434,306857,0,0,2140,30000,30000
2026-09-08T19:20:46+08:00,30000,414649,315241,0,0,2320,30000,30000
2026-09-08T19:20:56+08:00,30000,429921,324899,0,0,2530,30000,30000
2026-09-08T19:21:07+08:00,30000,446474,342461,0,0,2940,30000,30000
2026-09-08T19:21:16+08:00,30000,460596,355661,0,0,3280,30000,30000
2026-09-08T19:21:26+08:00,30000,475454,365374,0,0,3580,30000,30000
2026-09-08T19:21:36+08:00,30000,489826,372195,0,0,3860,30000,30000
2026-09-08T19:21:46+08:00,30000,504089,380473,0,0,4310,30000,30000
2026-09-08T19:21:56+08:00,30000,519179,390293,0,0,4840,30000,30000
2026-09-08T19:22:06+08:00,30000,535299,406124,0,0,6200,30000,30000
2026-09-08T19:22:16+08:00,30000,548859,412513,0,0,7020,30000,30000
2026-09-08T19:22:26+08:00,30000,563626,422135,0,0,8740,30000,30000
2026-09-08T19:22:36+08:00,30000,578343,431335,0,0,9770,30000,30000
2026-09-08T19:22:46+08:00,30000,592792,441983,0,0,11020,30000,30000
2026-09-08T19:22:56+08:00,30000,608341,453677,0,0,13800,30000,30000
2026-09-08T19:23:06+08:00,30000,624806,473929,0,0,18680,30000,30000
2026-09-08T19:23:16+08:00,30000,638106,479551,0,0,20590,30000,30000
2026-09-08T19:23:26+08:00,30000,652657,487484,0,0,23180,30000,30000
2026-09-08T19:23:36+08:00,30000,667761,497909,0,0,26480,30000,30000
2026-09-08T19:23:46+08:00,30000,682154,506311,0,0,29290,30000,30000
2026-09-08T19:23:56+08:00,30000,698062,518476,0,0,30000,30000,30000
2026-09-08T19:24:06+08:00,30000,712087,526436,0,0,30000,30000,30000
2026-09-08T19:24:16+08:00,30000,725877,533065,0,0,30000,30000,30000
2026-09-08T19:24:26+08:00,30000,740285,540368,0,0,30000,30000,30000
2026-09-08T19:24:36+08:00,30000,755567,550994,0,0,30000,30000,30000
2026-09-08T19:24:46+08:00,30000,770092,558935,0,0,30000,30000,30000
2026-09-08T19:24:56+08:00,30000,786638,576214,0,0,30000,30000,30000
2026-09-08T19:25:06+08:00,30000,802452,591771,0,0,30000,30000,30000
2026-09-08T19:25:16+08:00,30000,815551,596454,0,0,30000,30000,30000
2026-09-08T19:25:26+08:00,30000,830142,604862,0,0,30000,30000,30000
2026-09-08T19:25:36+08:00,30000,845187,614969,0,0,30000,30000,30000
2026-09-08T19:25:46+08:00,30000,859422,621874,0,0,30000,30000,30000
2026-09-08T19:25:56+08:00,30000,875003,634087,0,0,30000,30000,30000
2026-09-08T19:26:06+08:00,30000,890682,645274,0,0,30000,30000,30000
