ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:03:24+08:00,30000,11796,11518,0,0,290,460,500
2026-09-08T19:03:34+08:00,30000,23532,23334,0,0,280,460,510
2026-09-08T19:03:44+08:00,30000,35183,34945,0,0,280,460,520
2026-09-08T19:03:54+08:00,30000,46751,46433,0,0,280,450,530
2026-09-08T19:04:04+08:00,30000,58995,58680,0,0,270,440,520
2026-09-08T19:04:14+08:00,30000,71473,71188,0,0,270,440,530
2026-09-08T19:04:24+08:00,30000,82979,82615,0,0,270,450,570
2026-09-08T19:04:34+08:00,30000,95040,94770,0,0,260,440,560
2026-09-08T19:04:44+08:00,30000,107288,107015,0,0,260,440,550
2026-09-08T19:04:54+08:00,30000,118970,118629,0,0,260,460,1020
2026-09-08T19:05:04+08:00,30000,131403,131094,0,0,260,450,950
2026-09-08T19:05:14+08:00,30000,143364,143043,0,0,260,450,870
2026-09-08T19:05:24+08:00,30000,154442,154175,0,0,260,470,1040
2026-09-08T19:05:34+08:00,30000,166313,165995,0,0,260,460,1010
2026-09-08T19:05:44+08:00,30000,178448,178201,0,0,260,460,970
2026-09-08T19:05:54+08:00,30000,190122,189826,0,0,260,480,970
2026-09-08T19:06:04+08:00,30000,202472,202248,0,0,260,470,950
2026-09-08T19:06:14+08:00,30000,214427,213343,0,0,260,480,990
2026-09-08T19:06:24+08:00,30000,225958,225580,0,0,260,520,1120
2026-09-08T19:06:34+08:00,30000,238154,237797,0,0,260,510,1100
2026-09-08T19:06:44+08:00,30000,250528,250149,0,0,260,620,1180
2026-09-08T19:06:54+08:00,30000,261853,261593,0,0,270,720,1460
2026-09-08T19:07:04+08:00,30000,273980,273623,0,0,270,700,1440
2026-09-08T19:07:14+08:00,30000,286007,285746,0,0,260,680,1420
2026-09-08T19:07:24+08:00,30000,297274,297008,0,0,260,700,1410
2026-09-08T19:07:34+08:00,30000,309452,309151,0,0,260,680,1390
2026-09-08T19:07:44+08:00,30000,321454,321181,0,0,260,670,1370
2026-09-08T19:07:54+08:00,30000,333169,332843,0,0,270,730,1420
2026-09-08T19:08:04+08:00,30000,345199,344819,0,0,260,720,1410
2026-09-08T19:08:14+08:00,30000,357318,356858,0,0,260,700,1390
2026-09-08T19:08:24+08:00,30000,369160,368839,0,0,260,710,1380
2026-09-08T19:08:34+08:00,30000,381295,380951,0,0,270,730,1370
2026-09-08T19:08:44+08:00,30000,393324,393074,0,0,270,710,1350
2026-09-08T19:08:54+08:00,30000,404736,404427,0,0,270,740,1410
2026-09-08T19:09:04+08:00,30000,416489,415907,0,0,270,730,1400
2026-09-08T19:09:14+08:00,30000,428668,428294,0,0,270,720,1390
2026-09-08T19:09:24+08:00,30000,440231,439514,0,0,270,730,1380
2026-09-08T19:09:34+08:00,30000,452286,451888,0,0,270,740,1370
2026-09-08T19:09:44+08:00,30000,464138,463827,0,0,270,730,1360
2026-09-08T19:09:54+08:00,30000,475615,475330,0,0,270,730,1350
2026-09-08T19:10:04+08:00,30000,487361,487216,0,0,270,720,1340
2026-09-08T19:10:14+08:00,30000,499500,499086,0,0,270,710,1330
2026-09-08T19:10:24+08:00,30000,511095,510738,0,0,270,730,1360
2026-09-08T19:10:34+08:00,30000,522894,522463,0,0,270,720,1350
2026-09-08T19:10:44+08:00,30000,534745,534471,0,0,280,720,1340
2026-09-08T19:10:54+08:00,30000,546435,546079,0,0,280,740,1350
2026-09-08T19:11:04+08:00,30000,558447,558226,0,0,280,730,1340
2026-09-08T19:11:14+08:00,30000,570506,570042,0,0,280,770,1340
2026-09-08T19:11:24+08:00,30000,581599,581260,0,0,280,780,1350
2026-09-08T19:11:34+08:00,30000,593445,593141,0,0,280,770,1340
2026-09-08T19:11:44+08:00,30000,605459,605034,0,0,280,770,1330
2026-09-08T19:11:54+08:00,30000,616905,616531,0,0,280,770,1330
2026-09-08T19:12:04+08:00,30000,628790,628381,0,0,280,770,1320
2026-09-08T19:12:14+08:00,30000,640758,640471,0,0,280,760,1320
2026-09-08T19:12:24+08:00,30000,652194,651844,0,0,280,790,1380
2026-09-08T19:12:34+08:00,30000,664223,663968,0,0,280,780,1380
2026-09-08T19:12:44+08:00,30000,676294,675841,0,0,280,770,1370
2026-09-08T19:12:54+08:00,30000,687873,687534,0,0,280,780,1370
2026-09-08T19:13:04+08:00,30000,699701,698157,0,0,280,790,1410
2026-09-08T19:13:14+08:00,30000,711926,711635,0,0,280,910,1690
