ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T19:15:41+08:00,37,2990,19.2,0,1935,69,7,0,72135
2026-09-08T19:15:53+08:00,39,3065,19.6,0,13169,11374,9,0,83362
2026-09-08T19:16:04+08:00,43,3140,20.1,0,24906,23112,8,0,95115
2026-09-08T19:16:15+08:00,59,3356,21.5,0,35846,34019,9,4,106052
2026-09-08T19:16:27+08:00,54,3443,22.1,0,47424,45607,9,2,117653
2026-09-08T19:16:39+08:00,53,3720,23.8,0,58404,56597,8,6,128676
2026-09-08T19:16:50+08:00,77,3986,25.5,0,62087,60214,8,7,132150
2026-09-08T19:17:03+08:00,74,4182,26.8,0,62088,60216,7,42,132154
2026-09-08T19:17:15+08:00,55,4302,27.6,0,62095,60216,4,86,132153
2026-09-08T19:17:27+08:00,74,4357,27.9,0,62098,60217,6,40,132152
2026-09-08T19:17:39+08:00,78,4353,27.9,0,62093,60217,9,34,132153
2026-09-08T19:17:51+08:00,78,4373,28.0,0,62090,60216,9,43,132160
2026-09-08T19:18:03+08:00,63,4375,28.0,0,62088,60216,10,51,132151
2026-09-08T19:18:15+08:00,47,4398,28.2,0,61961,60088,140,48,132150
2026-09-08T19:18:27+08:00,61,4435,28.4,0,61962,60088,137,18,132152
2026-09-08T19:18:38+08:00,75,4441,28.5,0,61961,60087,137,29,132150
2026-09-08T19:18:50+08:00,53,4437,28.4,0,61963,60088,136,20,132153
2026-09-08T19:19:02+08:00,61,4449,28.5,0,61964,60088,136,31,132151
2026-09-08T19:19:14+08:00,66,4448,28.5,0,61965,60088,6,37,132152
2026-09-08T19:19:26+08:00,52,4446,28.5,0,61964,60088,8,13,132151
2026-09-08T19:19:37+08:00,61,4433,28.4,0,61963,60087,7,11,132151
2026-09-08T19:19:49+08:00,64,4445,28.5,0,61965,60088,6,33,132151
2026-09-08T19:20:01+08:00,60,4442,28.5,0,61960,60088,4,35,132154
2026-09-08T19:20:13+08:00,77,4444,28.5,0,61960,60088,4,30,132152
2026-09-08T19:20:25+08:00,60,4440,28.5,0,61961,60088,5,20,132153
2026-09-08T19:20:37+08:00,54,4456,28.6,0,61958,60086,7,16,132151
2026-09-08T19:20:49+08:00,61,4524,29.0,0,61962,60089,6,35,132154
2026-09-08T19:21:01+08:00,69,4487,28.8,0,61963,60089,6,31,132155
2026-09-08T19:21:13+08:00,52,4475,28.7,0,61964,60089,7,52,132156
2026-09-08T19:21:25+08:00,53,4483,28.7,0,61963,60088,6,17,132150
2026-09-08T19:21:37+08:00,62,4486,28.8,0,61963,60089,3,14,132153
2026-09-08T19:21:49+08:00,77,4486,28.7,0,61963,60088,4,23,132150
2026-09-08T19:22:01+08:00,68,4492,28.8,0,61961,60086,8,31,132149
2026-09-08T19:22:13+08:00,71,4498,28.8,0,61961,60087,8,41,132150
2026-09-08T19:22:25+08:00,64,4444,28.5,0,61960,60087,10,24,132151
2026-09-08T19:22:37+08:00,72,4430,28.4,0,61961,60087,11,20,132152
2026-09-08T19:22:49+08:00,59,4434,28.4,0,61960,60087,11,35,132149
2026-09-08T19:23:01+08:00,67,4411,28.3,0,61963,60089,10,22,132151
2026-09-08T19:23:12+08:00,49,4434,28.4,0,61965,60089,9,22,132153
2026-09-08T19:23:25+08:00,63,4498,28.8,0,61964,60089,8,15,132153
2026-09-08T19:23:36+08:00,56,4509,28.9,0,61987,60089,8,20,132154
2026-09-08T19:23:48+08:00,74,4519,29.0,0,61962,60089,9,33,132152
2026-09-08T19:24:00+08:00,46,4513,28.9,0,61961,60089,10,40,132152
2026-09-08T19:24:12+08:00,50,4502,28.9,0,61963,60089,10,10,132150
2026-09-08T19:24:24+08:00,63,4524,29.0,0,61961,60088,10,12,132169
2026-09-08T19:24:36+08:00,66,4488,28.8,0,61962,60088,9,32,132152
2026-09-08T19:24:47+08:00,68,4548,29.1,0,61961,60088,9,43,132151
2026-09-08T19:24:59+08:00,76,4517,28.9,0,61961,60089,8,48,132154
2026-09-08T19:25:11+08:00,48,4523,29.0,0,61961,60088,10,18,132152
2026-09-08T19:25:23+08:00,61,4545,29.1,0,61961,60088,10,18,132153
2026-09-08T19:25:35+08:00,58,4534,29.1,0,61965,60089,10,18,132152
2026-09-08T19:25:47+08:00,63,4526,29.0,0,61961,60088,12,24,132150
2026-09-08T19:25:59+08:00,56,4533,29.1,0,61962,60088,11,45,132150
2026-09-08T19:26:10+08:00,59,4589,29.4,0,61963,60087,9,69,132157
2026-09-08T19:26:22+08:00,57,4637,29.7,0,61963,60088,7,27,132151
2026-09-08T19:26:34+08:00,37,4615,29.6,0,61965,60089,6,32,132153
2026-09-08T19:26:46+08:00,76,3709,23.8,0,1955,89,29566,53,121119
2026-09-08T19:26:57+08:00,71,3696,23.7,0,1955,88,29566,22,83410
2026-09-08T19:27:09+08:00,61,3345,21.4,0,1949,87,29568,7,83408
2026-09-08T19:27:20+08:00,44,3337,21.4,0,1878,74,29584,8,83395
2026-09-08T19:27:31+08:00,45,3344,21.4,0,1880,74,29584,0,83395
2026-09-08T19:27:43+08:00,44,3340,21.4,0,1879,74,29585,0,83395
2026-09-08T19:27:54+08:00,43,3283,21.0,0,1871,68,31,0,83395
2026-09-08T19:28:05+08:00,43,3276,21.0,0,1871,68,30,0,83395
2026-09-08T19:28:17+08:00,43,3283,21.0,0,1871,68,18,0,83395
2026-09-08T19:28:28+08:00,44,3278,21.0,0,1870,68,18,0,83395
2026-09-08T19:28:39+08:00,44,3284,21.0,0,1872,68,20,0,83395
2026-09-08T19:28:50+08:00,42,3287,21.1,0,1875,68,18,0,83395
