ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:16:54+08:00,30000,16704,15197,0,0,400,1050,1440
2026-09-08T19:17:04+08:00,30000,33066,29623,0,0,690,3200,4440
2026-09-08T19:17:14+08:00,30000,48941,48647,0,0,870,3620,4730
2026-09-08T19:17:24+08:00,30000,63825,62580,0,0,690,3380,4670
2026-09-08T19:17:34+08:00,30000,80583,78881,0,0,620,3210,4600
2026-09-08T19:17:44+08:00,30000,96919,92523,0,0,740,3280,4550
2026-09-08T19:17:54+08:00,30000,114046,111604,0,0,940,4330,5310
2026-09-08T19:18:04+08:00,30000,129537,127755,0,0,920,4170,5230
2026-09-08T19:18:14+08:00,30000,145998,141133,0,0,990,4110,5180
2026-09-08T19:18:24+08:00,30000,160988,151633,0,0,1110,4820,6450
2026-09-08T19:18:34+08:00,30000,176032,162830,0,0,1250,6560,10130
2026-09-08T19:18:44+08:00,30000,190855,174502,0,0,1430,9580,11640
2026-09-08T19:18:54+08:00,30000,204896,181750,0,0,1550,10930,15730
2026-09-08T19:19:04+08:00,30000,219675,189713,0,0,1720,14650,20750
2026-09-08T19:19:14+08:00,30000,234778,199018,0,0,1930,18900,25840
2026-09-08T19:19:24+08:00,30000,248639,205332,0,0,2060,22650,29220
2026-09-08T19:19:34+08:00,30000,263014,211557,0,0,2190,26450,30000
2026-09-08T19:19:44+08:00,30000,277484,218697,0,0,2350,30000,30000
2026-09-08T19:19:54+08:00,30000,291320,226272,0,0,2510,30000,30000
2026-09-08T19:20:04+08:00,30000,306984,236947,0,0,2740,30000,30000
2026-09-08T19:20:14+08:00,30000,321290,243563,0,0,2890,30000,30000
2026-09-08T19:20:24+08:00,30000,335401,250306,0,0,3050,30000,30000
2026-09-08T19:20:34+08:00,30000,350012,257381,0,0,3230,30000,30000
2026-09-08T19:20:44+08:00,30000,365015,266451,0,0,3500,30000,30000
2026-09-08T19:20:54+08:00,30000,379366,274949,0,0,3850,30000,30000
2026-09-08T19:21:04+08:00,30000,395280,289380,0,0,4650,30000,30000
2026-09-08T19:21:14+08:00,30000,411430,308139,0,0,6110,30000,30000
2026-09-08T19:21:24+08:00,30000,425195,316421,0,0,7160,30000,30000
2026-09-08T19:21:34+08:00,30000,439916,323731,0,0,8480,30000,30000
2026-09-08T19:21:44+08:00,30000,455124,332464,0,0,9490,30000,30000
2026-09-08T19:21:54+08:00,30000,469249,341069,0,0,10400,30000,30000
2026-09-08T19:22:04+08:00,30000,485816,355974,0,0,13460,30000,30000
2026-09-08T19:22:14+08:00,30000,499901,364748,0,0,15580,30000,30000
2026-09-08T19:22:24+08:00,30000,513957,371986,0,0,17200,30000,30000
2026-09-08T19:22:34+08:00,30000,529151,382200,0,0,20070,30000,30000
2026-09-08T19:22:44+08:00,30000,545026,394211,0,0,23990,30000,30000
2026-09-08T19:22:54+08:00,30000,559057,404400,0,0,27190,30000,30000
2026-09-08T19:23:04+08:00,30000,575929,424384,0,0,30000,30000,30000
2026-09-08T19:23:14+08:00,30000,590281,432159,0,0,30000,30000,30000
2026-09-08T19:23:24+08:00,30000,603682,438834,0,0,30000,30000,30000
2026-09-08T19:23:34+08:00,30000,619127,448861,0,0,30000,30000,30000
2026-09-08T19:23:44+08:00,30000,634506,458809,0,0,30000,30000,30000
2026-09-08T19:23:54+08:00,30000,649038,469452,0,0,30000,30000,30000
2026-09-08T19:24:04+08:00,30000,663904,479363,0,0,30000,30000,30000
2026-09-08T19:24:14+08:00,30000,678482,486861,0,0,30000,30000,30000
2026-09-08T19:24:24+08:00,30000,691829,492458,0,0,30000,30000,30000
2026-09-08T19:24:34+08:00,30000,707441,502584,0,0,30000,30000,30000
2026-09-08T19:24:44+08:00,30000,722567,511962,0,0,30000,30000,30000
2026-09-08T19:24:54+08:00,30000,738102,526555,0,0,30000,30000,30000
2026-09-08T19:25:04+08:00,30000,754249,543556,0,0,30000,30000,30000
2026-09-08T19:25:14+08:00,30000,768599,550478,0,0,30000,30000,30000
2026-09-08T19:25:24+08:00,30000,782462,556497,0,0,30000,30000,30000
2026-09-08T19:25:34+08:00,30000,797937,566552,0,0,30000,30000,30000
2026-09-08T19:25:44+08:00,30000,813223,576520,0,0,30000,30000,30000
2026-09-08T19:25:54+08:00,30000,827831,586378,0,0,30000,30000,30000
2026-09-08T19:26:04+08:00,30000,843224,596268,0,0,30000,30000,30000
2026-09-08T19:26:14+08:00,30000,859507,611870,0,0,30000,30000,30000
2026-09-08T19:26:24+08:00,30000,875004,622772,0,0,30000,30000,30000
2026-09-08T19:26:34+08:00,30000,889088,627309,0,0,30000,30000,30000
