ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T17:05:32+08:00,1,1734,11.1,0,1857,49,0,0,41
2026-09-08T17:05:43+08:00,0,1737,11.1,0,1792,48,1,0,41
2026-09-08T17:05:54+08:00,1,1737,11.1,0,1792,48,2,0,41
2026-09-08T17:06:05+08:00,2,1738,11.1,0,1931,180,3,0,141
2026-09-08T17:06:16+08:00,2,1739,11.1,0,2294,542,4,0,503
2026-09-08T17:06:27+08:00,2,1743,11.2,0,2705,961,5,0,923
2026-09-08T17:06:38+08:00,1,1745,11.2,0,3033,1280,5,0,1241
2026-09-08T17:06:50+08:00,21,1752,11.2,0,3432,1680,5,0,1641
2026-09-08T17:07:01+08:00,2,1756,11.3,0,3731,1980,5,0,1941
2026-09-08T17:07:12+08:00,1,1757,11.3,0,4084,2332,72,0,2295
2026-09-08T17:07:23+08:00,1,1769,11.3,0,4437,2686,108,0,2647
2026-09-08T17:07:34+08:00,1,1789,11.5,0,4778,3026,143,0,2987
2026-09-08T17:07:45+08:00,1,1788,11.5,0,5129,3378,235,0,3341
2026-09-08T17:07:56+08:00,2,1794,11.5,0,5434,3680,321,0,3641
2026-09-08T17:08:07+08:00,2,1794,11.5,0,5831,4080,321,0,4041
2026-09-08T17:08:18+08:00,1,1798,11.5,0,6132,4380,252,0,4341
2026-09-08T17:08:29+08:00,2,1804,11.6,0,6491,4740,183,0,4703
2026-09-08T17:08:40+08:00,1,1804,11.6,0,6830,5080,183,0,5041
2026-09-08T17:08:51+08:00,1,1809,11.6,0,7156,5404,71,0,5395
2026-09-08T17:09:02+08:00,1,1818,11.7,0,7531,5780,71,0,5741
2026-09-08T17:09:13+08:00,2,1822,11.7,0,7861,6110,207,0,6075
2026-09-08T17:09:25+08:00,1,1824,11.7,0,8232,6480,293,0,6441
2026-09-08T17:09:36+08:00,1,1835,11.8,0,8532,6780,293,0,6741
2026-09-08T17:09:47+08:00,2,1838,11.8,0,8893,7142,248,0,7103
2026-09-08T17:09:58+08:00,1,1842,11.8,0,9232,7480,303,0,7441
2026-09-08T17:10:09+08:00,1,1849,11.8,0,9546,7795,223,0,7766
2026-09-08T17:10:20+08:00,2,1855,11.9,0,9930,8180,150,0,8141
2026-09-08T17:10:31+08:00,1,1861,11.9,0,10254,8504,80,0,8469
2026-09-08T17:10:42+08:00,2,1863,11.9,0,10629,8878,204,0,8841
2026-09-08T17:10:53+08:00,1,1896,12.2,0,10997,9181,255,0,9141
2026-09-08T17:11:04+08:00,2,1875,12.0,0,11289,9539,180,0,9501
2026-09-08T17:11:16+08:00,2,1881,12.1,0,11757,10000,181,1,9933
2026-09-08T17:11:27+08:00,1,1894,12.1,0,12288,10532,218,0,10461
2026-09-08T17:11:38+08:00,1,1906,12.2,0,12875,11114,205,0,11047
2026-09-08T17:11:49+08:00,4,1912,12.3,0,13446,11689,79,0,11621
2026-09-08T17:12:00+08:00,2,1921,12.3,0,13998,12241,81,0,12169
2026-09-08T17:12:11+08:00,2,1931,12.4,0,14395,12490,81,0,12571
2026-09-08T17:12:22+08:00,2,1938,12.4,0,14756,12671,105,0,12926
2026-09-08T17:12:33+08:00,2,1943,12.5,0,15075,12766,84,0,13245
2026-09-08T17:12:45+08:00,2,1949,12.5,0,15498,13044,84,0,13679
