ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:04:00+08:00,30000,12086,11693,0,0,240,370,420
2026-09-08T19:04:10+08:00,30000,24255,23949,0,0,240,380,440
2026-09-08T19:04:20+08:00,30000,36606,36353,0,0,250,420,590
2026-09-08T19:04:30+08:00,30000,48227,47968,0,0,250,430,600
2026-09-08T19:04:40+08:00,30000,60068,59856,0,0,250,410,580
2026-09-08T19:04:50+08:00,30000,72137,71767,0,0,250,410,570
2026-09-08T19:05:00+08:00,30000,84160,83863,0,0,250,450,1060
2026-09-08T19:05:10+08:00,30000,96167,95861,0,0,250,440,1000
2026-09-08T19:05:20+08:00,30000,108102,107769,0,0,250,440,940
2026-09-08T19:05:30+08:00,30000,119294,119042,0,0,250,470,980
2026-09-08T19:05:40+08:00,30000,131164,130698,0,0,250,450,950
2026-09-08T19:05:50+08:00,30000,143400,143096,0,0,260,470,910
2026-09-08T19:06:00+08:00,30000,155028,154695,0,0,260,480,910
2026-09-08T19:06:10+08:00,30000,166964,166666,0,0,260,470,890
2026-09-08T19:06:20+08:00,30000,178708,178470,0,0,260,530,1050
2026-09-08T19:06:30+08:00,30000,190492,190212,0,0,260,560,1100
2026-09-08T19:06:40+08:00,30000,202637,201620,0,0,260,640,1160
2026-09-08T19:06:50+08:00,30000,214754,214234,0,0,260,660,1160
2026-09-08T19:07:00+08:00,30000,226673,226319,0,0,270,750,1430
2026-09-08T19:07:10+08:00,30000,238709,238442,0,0,260,730,1410
2026-09-08T19:07:20+08:00,30000,250782,250405,0,0,260,710,1380
2026-09-08T19:07:30+08:00,30000,262485,262093,0,0,260,730,1390
2026-09-08T19:07:40+08:00,30000,274435,274154,0,0,260,710,1370
2026-09-08T19:07:50+08:00,30000,286466,286181,0,0,260,740,1360
2026-09-08T19:08:00+08:00,30000,298153,297735,0,0,260,760,1390
2026-09-08T19:08:10+08:00,30000,310080,309814,0,0,260,750,1370
2026-09-08T19:08:20+08:00,30000,322293,322045,0,0,260,740,1360
2026-09-08T19:08:30+08:00,30000,333668,333007,0,0,260,740,1350
2026-09-08T19:08:40+08:00,30000,345772,345417,0,0,270,750,1330
2026-09-08T19:08:50+08:00,30000,357637,357328,0,0,270,740,1320
2026-09-08T19:09:00+08:00,30000,369427,369160,0,0,270,760,1360
2026-09-08T19:09:10+08:00,30000,381275,380892,0,0,270,750,1350
2026-09-08T19:09:20+08:00,30000,393419,393017,0,0,270,740,1340
2026-09-08T19:09:30+08:00,30000,404734,404327,0,0,270,760,1330
2026-09-08T19:09:40+08:00,30000,416445,416043,0,0,270,750,1320
2026-09-08T19:09:50+08:00,30000,428282,427905,0,0,270,740,1310
2026-09-08T19:10:00+08:00,30000,440158,439719,0,0,270,750,1300
2026-09-08T19:10:10+08:00,30000,452126,451690,0,0,270,740,1290
2026-09-08T19:10:20+08:00,30000,464095,463744,0,0,280,730,1280
2026-09-08T19:10:30+08:00,30000,475756,475491,0,0,280,740,1300
2026-09-08T19:10:40+08:00,30000,487724,487335,0,0,280,730,1290
2026-09-08T19:10:50+08:00,30000,499637,499133,0,0,280,730,1280
2026-09-08T19:11:00+08:00,30000,511148,510791,0,0,280,740,1290
2026-09-08T19:11:10+08:00,30000,522936,522167,0,0,280,740,1280
2026-09-08T19:11:20+08:00,30000,534939,534658,0,0,280,770,1290
2026-09-08T19:11:30+08:00,30000,546682,546390,0,0,280,780,1300
2026-09-08T19:11:40+08:00,30000,558516,558266,0,0,280,780,1290
2026-09-08T19:11:50+08:00,30000,570575,570256,0,0,280,770,1290
2026-09-08T19:12:00+08:00,30000,581896,581514,0,0,280,770,1290
2026-09-08T19:12:10+08:00,30000,593795,593559,0,0,280,760,1280
2026-09-08T19:12:20+08:00,30000,605671,605324,0,0,280,760,1270
2026-09-08T19:12:30+08:00,30000,616943,616564,0,0,280,780,1310
2026-09-08T19:12:40+08:00,30000,628996,628685,0,0,280,770,1300
2026-09-08T19:12:50+08:00,30000,640704,640244,0,0,280,760,1300
2026-09-08T19:13:00+08:00,30000,652107,651779,0,0,280,770,1290
2026-09-08T19:13:10+08:00,30000,663834,661710,0,0,280,860,1540
2026-09-08T19:13:20+08:00,30000,675920,675592,0,0,290,900,1670
2026-09-08T19:13:30+08:00,30000,687081,686791,0,0,290,900,1660
2026-09-08T19:13:40+08:00,30000,698698,698276,0,0,290,900,1660
2026-09-08T19:13:50+08:00,30000,710256,709916,0,0,290,890,1650
