ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T22:33:43+08:00,30000,11659,11305,0,0,340,500,550
2026-09-08T22:33:53+08:00,30000,23318,22760,0,0,360,530,640
2026-09-08T22:34:03+08:00,30000,34973,34522,0,0,360,580,730
2026-09-08T22:34:13+08:00,30000,46093,45667,0,0,380,620,760
2026-09-08T22:34:23+08:00,30000,57715,57363,0,0,370,600,750
2026-09-08T22:34:33+08:00,30000,69371,69023,0,0,360,590,740
2026-09-08T22:34:43+08:00,30000,80537,80041,0,0,360,580,720
2026-09-08T22:34:53+08:00,30000,92162,91580,0,0,370,620,780
2026-09-08T22:35:03+08:00,30000,103822,103372,0,0,370,620,790
2026-09-08T22:35:13+08:00,30000,115003,114698,0,0,370,620,790
2026-09-08T22:35:23+08:00,30000,126629,126177,0,0,360,620,780
2026-09-08T22:35:33+08:00,30000,138272,137741,0,0,360,620,800
2026-09-08T22:35:43+08:00,30000,149438,148954,0,0,360,610,800
2026-09-08T22:35:53+08:00,30000,161053,160565,0,0,370,630,820
2026-09-08T22:36:03+08:00,30000,172707,172192,0,0,370,630,830
2026-09-08T22:36:13+08:00,30000,183873,183454,0,0,360,620,820
2026-09-08T22:36:23+08:00,30000,195504,194872,0,0,360,620,820
2026-09-08T22:36:33+08:00,30000,207160,206585,0,0,360,630,830
2026-09-08T22:36:43+08:00,30000,218339,217700,0,0,360,630,830
2026-09-08T22:36:53+08:00,30000,229956,229427,0,0,360,630,820
2026-09-08T22:37:03+08:00,30000,241609,241086,0,0,360,620,810
2026-09-08T22:37:13+08:00,30000,252769,252251,0,0,360,620,810
2026-09-08T22:37:23+08:00,30000,264398,263784,0,0,360,620,800
2026-09-08T22:37:33+08:00,30000,276051,275456,0,0,370,630,810
2026-09-08T22:37:43+08:00,30000,287205,286256,0,0,370,680,900
2026-09-08T22:37:53+08:00,30000,298827,298436,0,0,380,750,1020
2026-09-08T22:38:03+08:00,30000,310482,309309,0,0,380,760,1040
2026-09-08T22:38:13+08:00,30000,321714,320892,0,0,380,780,1070
2026-09-08T22:38:23+08:00,30000,333343,332163,0,0,390,810,1080
2026-09-08T22:38:33+08:00,30000,344998,343921,0,0,400,850,1120
2026-09-08T22:38:43+08:00,30000,356128,355518,0,0,400,860,1130
2026-09-08T22:38:53+08:00,30000,367758,366744,0,0,400,930,1450
2026-09-08T22:39:03+08:00,30000,379410,378785,0,0,400,930,1440
2026-09-08T22:39:13+08:00,30000,390651,389807,0,0,410,920,1430
2026-09-08T22:39:23+08:00,30000,402256,400287,0,0,410,960,1530
2026-09-08T22:39:33+08:00,30000,413912,413151,0,0,420,1010,1600
2026-09-08T22:39:43+08:00,30000,424947,424342,0,0,420,1000,1590
2026-09-08T22:39:53+08:00,30000,436497,435849,0,0,410,990,1580
2026-09-08T22:40:03+08:00,30000,448154,446905,0,0,420,1040,1610
2026-09-08T22:40:13+08:00,30000,459383,458272,0,0,420,1040,1600
2026-09-08T22:40:23+08:00,30000,471008,470312,0,0,430,1030,1590
2026-09-08T22:40:33+08:00,30000,482635,481316,0,0,420,1030,1580
2026-09-08T22:40:43+08:00,30000,493819,493036,0,0,430,1060,1580
2026-09-08T22:40:53+08:00,30000,505446,504298,0,0,430,1060,1570
2026-09-08T22:41:03+08:00,30000,517099,516308,0,0,430,1050,1570
2026-09-08T22:41:13+08:00,30000,528249,526915,0,0,440,1110,1610
2026-09-08T22:41:23+08:00,30000,539871,539016,0,0,440,1100,1610
2026-09-08T22:41:33+08:00,30000,551525,550523,0,0,440,1100,1600
2026-09-08T22:41:43+08:00,30000,562695,561606,0,0,440,1090,1600
2026-09-08T22:41:53+08:00,30000,574316,570750,0,0,440,1140,1760
2026-09-08T22:42:03+08:00,30000,585964,579949,0,0,450,1280,3960
2026-09-08T22:42:13+08:00,30000,597226,595922,0,0,450,1460,4390
2026-09-08T22:42:23+08:00,30000,608871,608171,0,0,450,1450,4370
2026-09-08T22:42:33+08:00,30000,620529,618594,0,0,450,1500,4360
2026-09-08T22:42:43+08:00,30000,631701,630674,0,0,460,1570,4340
2026-09-08T22:42:53+08:00,30000,643343,642234,0,0,460,1560,4310
2026-09-08T22:43:03+08:00,30000,654998,654278,0,0,460,1550,4290
2026-09-08T22:43:13+08:00,30000,666352,665466,0,0,460,1540,4270
2026-09-08T22:43:23+08:00,30000,677968,677205,0,0,450,1520,4260
2026-09-08T22:43:33+08:00,30000,689623,688935,0,0,450,1510,4240
