ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T22:26:54+08:00,5,1890,12.1,0,1965,196,0,0,226
2026-09-08T22:27:05+08:00,12,2096,13.4,0,17405,15643,1,0,15589
2026-09-08T22:27:16+08:00,11,2305,14.8,0,32610,30870,2,0,30870
2026-09-08T22:27:27+08:00,14,2565,16.4,0,48120,46368,3,0,46332
2026-09-08T22:27:39+08:00,1,2802,18.0,0,61950,60164,5,0,60043
2026-09-08T22:27:50+08:00,1,2828,18.1,0,61951,60164,6,0,60043
2026-09-08T22:28:01+08:00,1,2834,18.2,0,61950,60164,6,0,60043
2026-09-08T22:28:13+08:00,0,2913,18.7,0,61951,60164,6,0,60043
2026-09-08T22:28:24+08:00,1,2941,18.8,0,61949,60163,7,0,60043
2026-09-08T22:28:36+08:00,11,3013,19.3,0,61950,60164,7,0,60043
2026-09-08T22:28:48+08:00,1,3055,19.6,0,61950,60163,6,0,60043
2026-09-08T22:28:59+08:00,2,3066,19.6,0,61952,60164,6,0,60043
2026-09-08T22:29:10+08:00,1,3082,19.8,0,61823,60036,133,0,60043
2026-09-08T22:29:22+08:00,12,3072,19.7,0,61822,60036,133,0,60043
2026-09-08T22:29:33+08:00,4,3076,19.7,0,61823,60036,132,0,60043
2026-09-08T22:29:45+08:00,11,3074,19.7,0,61822,60036,132,0,60043
2026-09-08T22:29:56+08:00,2,3072,19.7,0,61822,60036,132,0,60043
2026-09-08T22:30:08+08:00,1,3081,19.7,0,61823,60036,5,0,60043
2026-09-08T22:30:19+08:00,2,3070,19.7,0,61822,60036,5,0,60043
2026-09-08T22:30:30+08:00,1,3070,19.7,0,61823,60036,5,0,60043
2026-09-08T22:30:42+08:00,1,3054,19.6,0,61822,60036,5,0,60043
2026-09-08T22:30:53+08:00,1,3087,19.8,0,61823,60036,5,0,60043
2026-09-08T22:31:05+08:00,1,3077,19.7,0,61822,60036,5,0,60043
2026-09-08T22:31:16+08:00,1,3071,19.7,0,61821,60036,5,0,60043
2026-09-08T22:31:28+08:00,1,3070,19.7,0,61823,60036,5,0,60043
2026-09-08T22:31:39+08:00,11,2560,16.4,0,1816,36,30005,0,43840
2026-09-08T22:31:50+08:00,1,2559,16.4,0,1817,36,30005,0,30043
2026-09-08T22:32:01+08:00,1,2573,16.5,0,1816,36,30005,0,30043
2026-09-08T22:32:13+08:00,1,2556,16.4,0,1817,36,30005,0,30043
2026-09-08T22:32:24+08:00,1,2557,16.4,0,1816,36,30005,0,30043
2026-09-08T22:32:35+08:00,1,2557,16.4,0,1816,36,30005,4,30043
2026-09-08T22:32:46+08:00,10,2534,16.2,0,1818,37,5,6,30043
2026-09-08T22:32:57+08:00,1,2535,16.2,0,1816,36,5,1,30043
2026-09-08T22:33:08+08:00,41,2565,16.4,0,20855,19021,5,16,48964
2026-09-08T22:33:20+08:00,36,2842,18.2,0,40740,39003,5,24,68973
2026-09-08T22:33:31+08:00,36,3173,20.3,0,61129,59429,5,26,89647
2026-09-08T22:33:43+08:00,39,3378,21.6,0,62064,60204,4,11,90103
2026-09-08T22:33:54+08:00,39,3617,23.2,0,62063,60204,4,12,90104
2026-09-08T22:34:06+08:00,37,3742,24.0,0,62066,60205,4,17,90105
2026-09-08T22:34:18+08:00,39,3753,24.1,0,62064,60204,3,10,90101
2026-09-08T22:34:29+08:00,38,3729,23.9,0,62067,60204,2,20,90104
2026-09-08T22:34:41+08:00,38,3768,24.2,0,62064,60203,4,7,90105
2026-09-08T22:34:52+08:00,41,3767,24.1,0,62067,60204,3,4,90104
2026-09-08T22:35:04+08:00,40,3767,24.1,0,61939,60076,131,16,90105
2026-09-08T22:35:16+08:00,36,3782,24.2,0,61936,60075,133,9,90106
2026-09-08T22:35:27+08:00,41,3782,24.2,0,61939,60076,134,5,90101
2026-09-08T22:35:39+08:00,42,3794,24.3,0,61938,60076,132,5,90104
2026-09-08T22:35:51+08:00,42,3786,24.3,0,61940,60076,132,8,90106
2026-09-08T22:36:02+08:00,69,3795,24.3,0,61938,60076,132,6,90106
2026-09-08T22:36:14+08:00,35,3791,24.3,0,61939,60076,4,13,90106
2026-09-08T22:36:25+08:00,42,3768,24.1,3972,61937,60076,3,5,90106
2026-09-08T22:36:37+08:00,38,3790,24.3,0,61934,60075,5,9,90103
2026-09-08T22:36:49+08:00,42,3756,24.1,0,61936,60076,5,3,90105
2026-09-08T22:37:00+08:00,54,3774,24.2,0,61935,60076,4,18,90104
2026-09-08T22:37:12+08:00,41,3794,24.3,0,61938,60076,4,11,90106
2026-09-08T22:37:24+08:00,36,3789,24.3,0,61937,60076,3,9,90105
2026-09-08T22:37:36+08:00,37,3833,24.6,0,61934,60075,2,23,90106
