ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:04:01+08:00,30000,12204,11953,0,0,240,360,400
2026-09-08T19:04:11+08:00,30000,24681,24398,0,0,250,380,430
2026-09-08T19:04:21+08:00,30000,36844,36430,0,0,250,420,600
2026-09-08T19:04:31+08:00,30000,48236,47993,0,0,250,420,630
2026-09-08T19:04:41+08:00,30000,60120,59796,0,0,250,410,610
2026-09-08T19:04:51+08:00,30000,72210,71177,0,0,250,410,600
2026-09-08T19:05:01+08:00,30000,83952,83627,0,0,250,430,1170
2026-09-08T19:05:11+08:00,30000,95295,95095,0,0,250,430,1070
2026-09-08T19:05:21+08:00,30000,106642,105924,0,0,250,430,890
2026-09-08T19:05:31+08:00,30000,116195,115842,0,0,250,440,1130
2026-09-08T19:05:41+08:00,30000,125947,125604,0,0,250,440,1090
2026-09-08T19:05:51+08:00,30000,138172,137649,0,0,260,460,1040
2026-09-08T19:06:01+08:00,30000,149715,149438,0,0,260,460,1020
2026-09-08T19:06:11+08:00,30000,160839,160545,0,0,260,450,980
2026-09-08T19:06:21+08:00,30000,170472,169846,0,0,260,500,1150
2026-09-08T19:06:31+08:00,30000,182080,181771,0,0,260,510,1170
2026-09-08T19:06:41+08:00,30000,190964,190491,0,0,260,600,1240
2026-09-08T19:06:51+08:00,30000,199485,198988,0,0,260,600,1230
2026-09-08T19:07:01+08:00,30000,209175,208955,0,0,260,630,1310
2026-09-08T19:07:11+08:00,30000,221246,220927,0,0,260,600,1290
2026-09-08T19:07:21+08:00,30000,233200,232793,0,0,260,600,1270
2026-09-08T19:07:31+08:00,30000,242481,242195,0,0,260,600,1280
2026-09-08T19:07:41+08:00,30000,252624,252338,0,0,260,590,1270
2026-09-08T19:07:51+08:00,30000,263570,262842,0,0,260,630,1260
2026-09-08T19:08:01+08:00,30000,275180,274809,0,0,260,650,1320
2026-09-08T19:08:11+08:00,30000,287118,286844,0,0,260,640,1300
2026-09-08T19:08:21+08:00,30000,299333,298876,0,0,260,640,1290
2026-09-08T19:08:31+08:00,30000,310776,309868,0,0,260,650,1280
2026-09-08T19:08:41+08:00,30000,322888,322552,0,0,260,660,1270
2026-09-08T19:08:51+08:00,30000,334836,333837,0,0,260,650,1260
2026-09-08T19:09:01+08:00,30000,346265,346054,0,0,260,670,1330
2026-09-08T19:09:11+08:00,30000,358204,357782,0,0,270,660,1310
2026-09-08T19:09:21+08:00,30000,370055,369707,0,0,270,650,1300
2026-09-08T19:09:31+08:00,30000,379815,379463,0,0,270,680,1290
2026-09-08T19:09:41+08:00,30000,390215,389612,0,0,270,670,1280
2026-09-08T19:09:51+08:00,30000,401987,401179,0,0,270,670,1270
2026-09-08T19:10:01+08:00,30000,413345,412953,0,0,270,680,1260
2026-09-08T19:10:11+08:00,30000,425226,424973,0,0,270,670,1250
2026-09-08T19:10:21+08:00,30000,436841,436018,0,0,270,660,1240
2026-09-08T19:10:31+08:00,30000,448199,447949,0,0,270,670,1280
2026-09-08T19:10:41+08:00,30000,460084,459544,0,0,270,660,1270
2026-09-08T19:10:51+08:00,30000,472007,471290,0,0,270,670,1260
2026-09-08T19:11:01+08:00,30000,483575,483256,0,0,280,680,1280
2026-09-08T19:11:11+08:00,30000,495406,494419,0,0,280,690,1270
2026-09-08T19:11:21+08:00,30000,507390,506432,0,0,280,720,1280
2026-09-08T19:11:31+08:00,30000,518743,518455,0,0,280,730,1300
2026-09-08T19:11:41+08:00,30000,528979,528725,0,0,280,720,1290
2026-09-08T19:11:51+08:00,30000,540015,539506,0,0,280,720,1290
2026-09-08T19:12:01+08:00,30000,550726,550407,0,0,280,720,1280
2026-09-08T19:12:11+08:00,30000,562471,562190,0,0,280,710,1280
2026-09-08T19:12:21+08:00,30000,574289,573273,0,0,280,710,1270
2026-09-08T19:12:31+08:00,30000,586017,585617,0,0,280,730,1340
2026-09-08T19:12:41+08:00,30000,598060,597768,0,0,280,730,1330
2026-09-08T19:12:51+08:00,30000,609893,609100,0,0,280,720,1320
2026-09-08T19:13:01+08:00,30000,621401,621030,0,0,280,730,1330
2026-09-08T19:13:11+08:00,30000,633321,631218,0,0,280,850,1600
2026-09-08T19:13:21+08:00,30000,645470,644903,0,0,290,890,1680
2026-09-08T19:13:31+08:00,30000,657105,656773,0,0,290,900,1680
2026-09-08T19:13:41+08:00,30000,668694,668190,0,0,290,890,1670
2026-09-08T19:13:51+08:00,30000,680313,679845,0,0,290,880,1660
