ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T17:05:29+08:00,2,1758,11.3,0,2022,58,0,0,41
2026-09-08T17:05:40+08:00,1,1759,11.3,0,1911,56,1,3,41
2026-09-08T17:05:51+08:00,1,1759,11.3,0,1958,57,2,1,41
2026-09-08T17:06:02+08:00,2,1759,11.3,0,2131,244,3,1,141
2026-09-08T17:06:13+08:00,45,1760,11.3,0,2474,614,162,5,541
2026-09-08T17:06:24+08:00,30,1763,11.3,0,2780,942,497,1,841
2026-09-08T17:06:35+08:00,99,1773,11.4,0,3199,1315,861,5,1241
2026-09-08T17:06:46+08:00,13,1778,11.4,0,3506,1643,1153,0,1541
2026-09-08T17:06:58+08:00,100,1789,11.5,0,3859,1978,1493,0,1907
2026-09-08T17:07:09+08:00,2,1794,11.5,0,4172,2309,1787,0,2241
2026-09-08T17:07:20+08:00,100,1800,11.5,0,4566,2681,1890,0,2601
2026-09-08T17:07:31+08:00,9,1817,11.6,0,4903,3016,1852,1,2941
2026-09-08T17:07:42+08:00,100,1816,11.6,0,5261,3352,1916,0,3251
2026-09-08T17:07:53+08:00,44,1825,11.7,0,5553,3714,1888,7,3641
2026-09-08T17:08:05+08:00,69,1829,11.7,0,5955,4043,1828,4,3941
2026-09-08T17:08:16+08:00,80,1836,11.8,0,6278,4415,1811,4,4341
2026-09-08T17:08:27+08:00,41,1838,11.8,0,6652,4744,1926,2,4641
2026-09-08T17:08:38+08:00,100,1843,11.8,0,7083,5088,1906,7,5041
2026-09-08T17:08:49+08:00,2,1851,11.9,0,7395,5418,1775,0,5341
2026-09-08T17:09:00+08:00,100,1860,11.9,0,7727,5795,1839,0,5705
2026-09-08T17:09:11+08:00,8,1863,11.9,0,8068,6115,1850,5,6041
2026-09-08T17:09:22+08:00,97,1868,12.0,0,8356,6455,1828,2,6403
2026-09-08T17:09:34+08:00,9,1881,12.1,0,8770,6817,1815,0,6741
2026-09-08T17:09:45+08:00,85,1886,12.1,0,9118,7148,1910,1,7047
2026-09-08T17:09:56+08:00,63,1887,12.1,0,9470,7517,1921,0,7441
2026-09-08T17:10:07+08:00,55,1898,12.2,0,9816,7846,1886,1,7741
2026-09-08T17:10:19+08:00,78,1904,12.2,0,10147,8215,1878,0,8141
2026-09-08T17:10:30+08:00,34,1906,12.2,0,10516,8545,1925,0,8441
2026-09-08T17:10:41+08:00,94,1907,12.2,0,10703,8912,1939,7,8841
2026-09-08T17:10:52+08:00,15,1937,12.4,0,11022,9240,1908,2,9141
2026-09-08T17:11:03+08:00,100,1927,12.3,0,11366,9596,1904,1,9541
2026-09-08T17:11:15+08:00,100,1939,12.4,0,12205,10383,1890,2,10227
2026-09-08T17:11:26+08:00,100,1958,12.5,0,13208,11330,1754,4,11212
2026-09-08T17:11:37+08:00,100,1966,12.6,0,14146,12256,1659,1,12097
2026-09-08T17:11:49+08:00,100,1983,12.7,0,15078,13190,1491,0,13068
2026-09-08T17:12:00+08:00,100,1997,12.8,0,16058,14121,1463,0,13967
2026-09-08T17:12:11+08:00,100,2003,12.8,0,16738,14641,1372,0,14722
2026-09-08T17:12:23+08:00,100,2026,13.0,0,17485,15203,1348,0,15445
2026-09-08T17:12:34+08:00,100,2049,13.1,0,18264,15823,1265,0,16249
2026-09-08T17:12:45+08:00,100,2054,13.2,0,19005,16363,1375,0,16951
2026-09-08T17:12:56+08:00,100,2077,13.3,0,19825,16971,1373,0,17735
2026-09-08T17:13:08+08:00,100,2092,13.4,0,20510,17520,1321,0,18457
2026-09-08T17:13:19+08:00,100,2096,13.4,0,21235,18141,1299,6,19259
2026-09-08T17:13:30+08:00,100,2108,13.5,0,21933,18690,1379,4,19979
2026-09-08T17:13:42+08:00,100,2133,13.7,0,22707,19308,1364,1,20773
2026-09-08T17:13:53+08:00,100,2140,13.7,0,23458,19860,1332,0,21501
2026-09-08T17:14:04+08:00,100,2144,13.7,0,24233,20457,1329,2,22287
2026-09-08T17:14:16+08:00,1,1961,12.6,0,1910,78,12382,5,12317
2026-09-08T17:14:27+08:00,1,1958,12.5,0,1935,79,12184,3,12317
2026-09-08T17:14:38+08:00,1,1959,12.6,0,1960,80,11918,0,12317
2026-09-08T17:14:49+08:00,1,1962,12.6,0,1960,80,11649,2,12317
2026-09-08T17:15:00+08:00,2,1956,12.5,0,1984,81,11482,5,12317
2026-09-08T17:15:11+08:00,0,1962,12.6,0,2010,82,11197,2,12317
2026-09-08T17:15:22+08:00,1,1957,12.5,0,2035,83,5,1,12317
2026-09-08T17:15:33+08:00,65,2066,13.2,0,14538,12614,5,1,24944
2026-09-08T17:15:45+08:00,64,2438,15.6,0,39066,37156,4,6,49558
2026-09-08T17:15:56+08:00,44,2826,18.1,0,62252,60178,4,4,72325
