ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T19:15:41+08:00,42,4099,26.3,0,3815,159,9,0,78767
2026-09-08T19:15:52+08:00,99,4179,26.8,0,16293,12689,11,0,90941
2026-09-08T19:16:04+08:00,98,4283,27.4,0,28083,24534,10,0,102960
2026-09-08T19:16:15+08:00,100,4432,28.4,0,39503,36071,9,9,114535
2026-09-08T19:16:29+08:00,99,4565,29.3,0,51019,47354,7,2,125616
2026-09-08T19:16:41+08:00,99,4841,31.0,0,62151,58439,4,4,136757
2026-09-08T19:16:54+08:00,92,5250,33.6,0,64387,60627,1,54,138788
2026-09-08T19:17:07+08:00,85,5351,34.3,0,64400,60627,1,120,138781
2026-09-08T19:17:19+08:00,89,5412,34.7,0,64400,60627,4,221,138789
2026-09-08T19:17:31+08:00,94,5431,34.8,0,64423,60628,4,71,138782
2026-09-08T19:17:44+08:00,90,5429,34.8,0,64406,60628,4,56,138782
2026-09-08T19:17:56+08:00,89,5446,34.9,0,64415,60627,5,45,138780
2026-09-08T19:18:08+08:00,94,5446,34.9,0,64436,60627,6,217,138783
2026-09-08T19:18:20+08:00,94,5473,35.1,0,64026,60244,131,59,138787
2026-09-08T19:18:32+08:00,81,5446,34.9,0,64053,60244,131,41,138784
2026-09-08T19:18:44+08:00,97,5447,34.9,0,64017,60244,131,43,138787
2026-09-08T19:18:56+08:00,98,5413,34.7,0,64056,60243,133,47,138781
2026-09-08T19:19:09+08:00,98,5480,35.1,0,64261,60244,134,111,138785
2026-09-08T19:19:22+08:00,90,5432,34.8,0,64119,60245,9,61,138796
2026-09-08T19:19:34+08:00,91,5497,35.2,0,64159,60245,9,30,138813
2026-09-08T19:19:46+08:00,98,5553,35.6,0,64323,60244,12,120,138790
2026-09-08T19:19:59+08:00,99,5495,35.2,0,64113,60242,13,106,138782
2026-09-08T19:20:11+08:00,83,5498,35.2,0,64091,60243,11,62,138784
2026-09-08T19:20:24+08:00,88,5505,35.3,0,64115,60244,9,59,138784
2026-09-08T19:20:36+08:00,86,5578,35.8,0,64162,60244,11,40,138784
2026-09-08T19:20:49+08:00,99,5552,35.6,0,64049,60244,8,82,138783
2026-09-08T19:21:01+08:00,96,5559,35.6,0,64050,60244,5,104,138783
2026-09-08T19:21:14+08:00,87,5574,35.7,0,64025,60244,5,63,138784
2026-09-08T19:21:26+08:00,94,5602,35.9,0,64050,60244,4,32,138784
2026-09-08T19:21:38+08:00,87,5562,35.7,0,64051,60243,4,38,138786
2026-09-08T19:21:50+08:00,99,5562,35.6,0,64102,60244,3,114,138784
2026-09-08T19:22:02+08:00,99,5575,35.7,0,64067,60244,5,71,138788
2026-09-08T19:22:14+08:00,91,5593,35.8,0,64064,60245,5,73,138785
2026-09-08T19:22:26+08:00,86,5597,35.9,0,64061,60245,5,46,138784
2026-09-08T19:22:38+08:00,98,5622,36.0,4,64112,60244,4,72,138783
2026-09-08T19:22:51+08:00,98,5625,36.0,0,64144,60243,5,99,138781
2026-09-08T19:23:03+08:00,86,5621,36.0,0,64041,60244,4,80,138784
2026-09-08T19:23:16+08:00,93,5615,36.0,0,64080,60243,4,19,138786
2026-09-08T19:23:27+08:00,95,5626,36.1,0,64076,60243,6,41,138783
2026-09-08T19:23:40+08:00,96,5653,36.2,4,64120,60243,7,68,138783
2026-09-08T19:23:51+08:00,99,5621,36.0,0,64073,60243,6,130,138785
2026-09-08T19:24:04+08:00,88,5621,36.0,4,64059,60244,6,53,138783
2026-09-08T19:24:16+08:00,91,5623,36.0,0,64078,60243,7,29,138780
2026-09-08T19:24:28+08:00,94,5650,36.2,4,64148,60243,7,33,138784
2026-09-08T19:24:40+08:00,98,5650,36.2,0,64122,60243,5,158,138781
2026-09-08T19:24:53+08:00,97,5643,36.2,0,64126,60244,5,121,138783
2026-09-08T19:25:05+08:00,92,5641,36.2,0,64117,60244,5,61,138783
2026-09-08T19:25:17+08:00,87,5619,36.0,0,64115,60244,4,45,138789
2026-09-08T19:25:29+08:00,91,5619,36.0,0,64126,60245,4,27,138807
2026-09-08T19:25:40+08:00,96,5621,36.0,0,64102,60244,5,51,138787
2026-09-08T19:25:53+08:00,97,5622,36.0,0,64125,60244,5,101,138781
2026-09-08T19:26:05+08:00,99,5654,36.2,0,64134,60244,5,106,138808
2026-09-08T19:26:17+08:00,95,5700,36.5,0,64038,60243,6,63,138783
2026-09-08T19:26:29+08:00,86,5632,36.1,0,64069,60243,5,49,138784
2026-09-08T19:26:41+08:00,90,5629,36.1,0,64138,60245,5,183,138786
2026-09-08T19:26:54+08:00,60,4828,30.9,0,4059,244,29825,22,97999
2026-09-08T19:27:06+08:00,39,4805,30.8,8,4057,243,29827,1,97998
2026-09-08T19:27:17+08:00,38,4481,28.7,0,3913,158,29912,0,97985
2026-09-08T19:27:28+08:00,40,4487,28.8,0,3980,159,29914,0,97985
2026-09-08T19:27:40+08:00,40,4472,28.7,0,3912,158,29915,0,97985
2026-09-08T19:27:51+08:00,80,4465,28.6,0,4064,161,100,0,97985
2026-09-08T19:28:02+08:00,82,4481,28.7,4,4072,161,98,0,97985
2026-09-08T19:28:14+08:00,38,4422,28.3,0,3913,158,98,0,97985
2026-09-08T19:28:25+08:00,41,4419,28.3,4,3914,158,14,0,97985
2026-09-08T19:28:36+08:00,39,4415,28.3,0,3917,158,13,0,97985
2026-09-08T19:28:47+08:00,38,4434,28.4,0,3918,158,12,0,97985
