ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T22:33:09+08:00,30000,11632,11010,0,0,470,890,1030
2026-09-08T22:33:19+08:00,30000,23296,22866,0,0,470,860,1030
2026-09-08T22:33:29+08:00,30000,34921,34350,0,0,440,810,990
2026-09-08T22:33:39+08:00,30000,45621,45058,0,0,420,830,1090
2026-09-08T22:33:49+08:00,30000,57277,56564,0,0,400,790,1060
2026-09-08T22:33:59+08:00,30000,68932,68246,0,0,400,770,1030
2026-09-08T22:34:09+08:00,30000,80030,79223,0,0,410,760,1010
2026-09-08T22:34:19+08:00,30000,91657,91054,0,0,400,740,980
2026-09-08T22:34:29+08:00,30000,103323,102757,0,0,390,720,960
2026-09-08T22:34:39+08:00,30000,114144,113504,0,0,380,700,950
2026-09-08T22:34:49+08:00,30000,125787,124995,0,0,380,690,930
2026-09-08T22:34:59+08:00,30000,137371,136589,0,0,390,700,930
2026-09-08T22:35:09+08:00,30000,148357,147576,0,0,390,700,930
2026-09-08T22:35:19+08:00,30000,159944,159008,0,0,380,690,920
2026-09-08T22:35:29+08:00,30000,171307,170530,0,0,380,690,910
2026-09-08T22:35:39+08:00,30000,182470,181631,0,0,380,690,940
2026-09-08T22:35:49+08:00,30000,194083,193203,0,0,380,690,940
2026-09-08T22:35:59+08:00,30000,205732,204884,0,0,380,690,930
2026-09-08T22:36:09+08:00,30000,216686,216004,0,0,380,690,950
2026-09-08T22:36:19+08:00,30000,228274,227347,0,0,370,680,940
2026-09-08T22:36:29+08:00,30000,239901,239021,0,0,370,670,930
2026-09-08T22:36:39+08:00,30000,251148,250228,0,0,380,690,940
2026-09-08T22:36:49+08:00,30000,262780,261893,0,0,380,680,930
2026-09-08T22:36:59+08:00,30000,274369,273501,0,0,380,670,920
2026-09-08T22:37:09+08:00,30000,285467,284627,0,0,370,670,920
2026-09-08T22:37:19+08:00,30000,297099,296055,0,0,370,670,910
2026-09-08T22:37:29+08:00,30000,308736,307747,0,0,370,670,910
2026-09-08T22:37:39+08:00,30000,319441,318087,0,0,380,700,930
2026-09-08T22:37:49+08:00,30000,330954,329094,0,0,380,760,1000
2026-09-08T22:37:59+08:00,30000,342577,341519,0,0,390,780,1050
2026-09-08T22:38:09+08:00,30000,353492,352207,0,0,390,810,1080
2026-09-08T22:38:19+08:00,30000,364977,363728,0,0,390,830,1090
2026-09-08T22:38:29+08:00,30000,376548,375269,0,0,400,860,1130
2026-09-08T22:38:39+08:00,30000,387026,385736,0,0,400,870,1140
2026-09-08T22:38:49+08:00,30000,398604,396029,0,0,410,890,1230
2026-09-08T22:38:59+08:00,30000,410241,408880,0,0,410,930,1430
2026-09-08T22:39:09+08:00,30000,421547,420060,0,0,410,930,1420
2026-09-08T22:39:19+08:00,30000,432903,431229,0,0,410,930,1410
2026-09-08T22:39:29+08:00,30000,444514,443195,0,0,420,1010,1580
2026-09-08T22:39:39+08:00,30000,455460,454138,0,0,420,1000,1570
2026-09-08T22:39:49+08:00,30000,466950,465491,0,0,420,990,1560
2026-09-08T22:39:59+08:00,30000,478496,476339,0,0,420,1000,1560
2026-09-08T22:40:09+08:00,30000,489460,487773,0,0,420,1030,1590
2026-09-08T22:40:19+08:00,30000,501034,499380,0,0,430,1030,1580
2026-09-08T22:40:29+08:00,30000,512676,511318,0,0,430,1020,1570
2026-09-08T22:40:39+08:00,30000,523689,521857,0,0,430,1060,1580
2026-09-08T22:40:49+08:00,30000,535194,533600,0,0,430,1050,1570
2026-09-08T22:40:59+08:00,30000,546712,545075,0,0,440,1050,1560
2026-09-08T22:41:09+08:00,30000,557616,555003,0,0,440,1060,1580
2026-09-08T22:41:19+08:00,30000,569139,567539,0,0,440,1100,1610
2026-09-08T22:41:29+08:00,30000,580768,579217,0,0,440,1090,1600
2026-09-08T22:41:39+08:00,30000,591591,589880,0,0,440,1090,1590
2026-09-08T22:41:49+08:00,30000,602520,599552,0,0,440,1100,1620
2026-09-08T22:41:59+08:00,30000,613531,607477,0,0,450,1200,2410
2026-09-08T22:42:09+08:00,30000,623900,621857,0,0,450,1410,4280
2026-09-08T22:42:19+08:00,30000,635525,633789,0,0,450,1400,4260
2026-09-08T22:42:29+08:00,30000,647185,644481,0,0,450,1380,4240
2026-09-08T22:42:39+08:00,30000,658069,656042,0,0,460,1510,4220
2026-09-08T22:42:49+08:00,30000,669610,666762,0,0,460,1500,4200
2026-09-08T22:42:59+08:00,30000,681168,678938,0,0,460,1500,4180
