ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T19:16:54+08:00,30000,17248,16001,0,0,440,1080,1460
2026-09-08T19:17:04+08:00,30000,33552,30829,0,0,730,3310,4520
2026-09-08T19:17:14+08:00,30000,45741,44978,0,0,850,3580,4690
2026-09-08T19:17:24+08:00,30000,59577,58241,0,0,700,3370,4630
2026-09-08T19:17:34+08:00,30000,77351,75219,0,0,630,3200,4570
2026-09-08T19:17:45+08:00,30000,94827,89434,0,0,770,3310,4500
2026-09-08T19:17:54+08:00,30000,111092,109291,0,0,960,4220,5120
2026-09-08T19:18:04+08:00,30000,123919,122421,0,0,940,4100,5090
2026-09-08T19:18:15+08:00,30000,139161,133678,0,0,1020,4070,5060
2026-09-08T19:18:24+08:00,30000,154094,144411,0,0,1160,4870,6620
2026-09-08T19:18:34+08:00,30000,170243,156061,0,0,1330,6910,10310
2026-09-08T19:18:45+08:00,30000,185545,167623,0,0,1520,9770,11800
2026-09-08T19:18:54+08:00,30000,200334,175740,0,0,1690,11500,16550
2026-09-08T19:19:04+08:00,30000,215608,184217,0,0,1880,15460,21280
2026-09-08T19:19:14+08:00,30000,231623,193971,0,0,2100,19850,26230
2026-09-08T19:19:24+08:00,30000,246492,200476,0,0,2240,23520,29640
2026-09-08T19:19:34+08:00,30000,261102,207118,0,0,2380,27260,30000
2026-09-08T19:19:45+08:00,30000,276335,214114,0,0,2530,30000,30000
2026-09-08T19:19:54+08:00,30000,292977,222394,0,0,2720,30000,30000
2026-09-08T19:20:04+08:00,30000,309635,233590,0,0,2980,30000,30000
2026-09-08T19:20:14+08:00,30000,324070,240166,0,0,3150,30000,30000
2026-09-08T19:20:24+08:00,30000,338354,247732,0,0,3350,30000,30000
2026-09-08T19:20:34+08:00,30000,353547,255178,0,0,3600,30000,30000
2026-09-08T19:20:44+08:00,30000,368853,264144,0,0,4020,30000,30000
2026-09-08T19:20:54+08:00,30000,384207,274172,0,0,4610,30000,30000
2026-09-08T19:21:04+08:00,30000,401444,290971,0,0,5880,30000,30000
2026-09-08T19:21:14+08:00,30000,417354,309801,0,0,8630,30000,30000
2026-09-08T19:21:24+08:00,30000,431756,318904,0,0,9630,30000,30000
2026-09-08T19:21:34+08:00,30000,446988,326258,0,0,10380,30000,30000
2026-09-08T19:21:45+08:00,30000,462722,335061,0,0,11690,30000,30000
2026-09-08T19:21:54+08:00,30000,478201,343785,0,0,13750,30000,30000
2026-09-08T19:22:04+08:00,30000,495506,359901,0,0,17380,30000,30000
2026-09-08T19:22:14+08:00,30000,508730,368139,0,0,19430,30000,30000
2026-09-08T19:22:24+08:00,30000,523474,376896,0,0,22220,30000,30000
2026-09-08T19:22:34+08:00,30000,538790,386865,0,0,25330,30000,30000
2026-09-08T19:22:44+08:00,30000,555512,399049,0,0,28980,30000,30000
2026-09-08T19:22:54+08:00,30000,571956,410093,0,0,30000,30000,30000
2026-09-08T19:23:04+08:00,30000,588827,430486,0,0,30000,30000,30000
2026-09-08T19:23:14+08:00,30000,603507,437949,0,0,30000,30000,30000
2026-09-08T19:23:24+08:00,30000,617689,445350,0,0,30000,30000,30000
2026-09-08T19:23:34+08:00,30000,633858,456527,0,0,30000,30000,30000
2026-09-08T19:23:44+08:00,30000,649555,466473,0,0,30000,30000,30000
2026-09-08T19:23:54+08:00,30000,665480,478095,0,0,30000,30000,30000
2026-09-08T19:24:04+08:00,30000,680233,487863,0,0,30000,30000,30000
2026-09-08T19:24:14+08:00,30000,694989,495179,0,0,30000,30000,30000
2026-09-08T19:24:24+08:00,30000,708738,501445,0,0,30000,30000,30000
2026-09-08T19:24:34+08:00,30000,724324,511478,0,0,30000,30000,30000
2026-09-08T19:24:45+08:00,30000,740060,520746,0,0,30000,30000,30000
2026-09-08T19:24:54+08:00,30000,756106,537166,0,0,30000,30000,30000
2026-09-08T19:25:04+08:00,30000,771801,554618,0,0,30000,30000,30000
2026-09-08T19:25:14+08:00,30000,785756,561236,0,0,30000,30000,30000
2026-09-08T19:25:24+08:00,30000,799514,568462,0,0,30000,30000,30000
2026-09-08T19:25:34+08:00,30000,815392,579311,0,0,30000,30000,30000
2026-09-08T19:25:44+08:00,30000,830855,588613,0,0,30000,30000,30000
2026-09-08T19:25:54+08:00,30000,845847,599821,0,0,30000,30000,30000
2026-09-08T19:26:04+08:00,30000,861476,610218,0,0,30000,30000,30000
2026-09-08T19:26:15+08:00,30000,878113,625328,0,0,30000,30000,30000
2026-09-08T19:26:24+08:00,30000,893628,637018,0,0,30000,30000,30000
2026-09-08T19:26:34+08:00,30000,907024,641679,0,0,30000,30000,30000
2026-09-08T19:26:44+08:00,30000,919014,648415,0,0,30000,30000,30000
